description,hashtags,likes,comments,reposts,type,links/tags,link
"“Y2Q”\n\nIf you haven’t heard this phrase yet, chances are you will soon. \n\nY2Q is what convinced me to trade in my Fort Lauderdale, FL beach shoes for Ottawa, Canada snowshoes and join Quantropi.\n\nY2Q is important to understand if you use the internet for any type of financial, legal, or sensitive exchange of information including online shopping, online banking, applying for a mortgage or insurance, “DocuSigning” anything, and even email.\n\nY2Q is important to understand if you have any kind of smart Internet of Things (IoT) device like a Ring doorbell, Nest thermostat, security camera, baby monitor, fitness watch, or any device you can access or control from a mobile device through the internet.\n\nPut simply, every day we rely on devices that are embedded with sensors, software, or other technologies that collect and securely transmit our data. To keep our personal information safe, the data is “encrypted.” But how safe is it, really? This is where Y2Q comes in.\n\nY2Q stands for “Years to Quantum” and it represents the date when a commercially viable quantum computer becomes available that is powerful enough to break our current encryption standards. Instead of the binary 1’s and 0’s used by today’s classic computers, quantum computers store data and solve problems using the properties of quantum physics – making them much faster and more efficient than supercomputers for certain applications (like breaking encryption).\n\nEstimates as to when Y2Q will occur vary from as long as a decade to as short as just a couple years. If this makes you feel better, it probably shouldn’t. Technology and innovation have a habit of advancing much faster than people expect (just think about ChatGPT). In the case of quantum, technology companies are spending over $30B per year in an arms race to create more and more powerful quantum computers. \n\nAnd for good reason – quantum computing has enormous potential to solve a wide range of problems in today’s society. But as history has repeatedly shown, revolutionary new technology can have unintended uses and consequences – and in this case, that means the end of the classical encryption that has secured our world for decades. In other words, the $50 trillion dollars of transactions in today’s digital economy and a wide range of other sensitive online transactions will no longer be private or secure.\n\nUltimately you should form your own opinion as to when Y2Q will occur, but in my view “sooner” seems more likely than “later”. In my next post, I’ll summarize some eye-opening events from the last 45 days that could rapidly advance the Y2Q timeframe.\n\nIn the meantime, to learn more about what is being done to keep information private and secure, follow Quantropi Inc. – a leading provider of quantum secure encryption to safeguard our digital world “today, tomorrow…forever.” \n\nThe importance of Y2Q is enormous, and so the opportunity for me to join Quantropi was simply too intriguing to pass up. Beach shoes be damned! #Y2Q",['#Y2Q'],32,2,3,Video,['www.linkedin.com/company/quantropi/'],https://www.linkedin.com/feed/update/urn:li:activity:7028043728246198272
"We at Quantropi Inc. always punch above our weight while fighting for the cause of protecting truth &amp; trust though our Quantum-secure cryptographic solutions. So does our CEO, James Nguyen who is participating this year in the #FightForTheCure boxing gala to raise $250,000 for the mission to fight cancer.\n\nYou can also support him by donating for this philanthropic endeavor: https://lnkd.in/gnF3-qw5\n\n#FFTC #fightcancertogether #BringItOn #Quantropi","['#FightForTheCure', '#FFTC', '#fightcancertogether', '#BringItOn', '#Quantropi']",23,8,1,Image,"['www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'lnkd.in/gnF3-qw5']",https://www.linkedin.com/feed/update/urn:li:activity:6966073203840479232
"#TQIWebisodes #Part4\n\nIn this, the final part of our 'The Quantum Insider mini-series on the Y2Q Quantum Threat, Quantropi Inc. CTO Michael Redding walks the audience through QiSpace™, a hybrid SaaS platform which provides TrUE quantum-secure cryptographic functions – via three distinct product families: MASQ™, QEEP™, and SEQUR™. \n\nWatch the complete mini-series here: https://lnkd.in/gnwP6f67 \n\nQuantropi Inc.’s QiSpace™ platform is the only fast, lightweight, and resource-efficient suite of cryptographic products and quantum entropy services that enable organizations to protect data, networks, systems and IoT devices, now and forever. \n\nLearn More: https://lnkd.in/g79xH39y  Music Rights: Waterbridge Creative Media Video: Eric Chan  James Nguyen Randy Kuang Jay Toth Raj Narula, P.Eng. Nik Mahidhara, CPA, CA, MBA Ken Dobell Colin Osing Nick Kuang  Follow us at: LinkedIn: https://lnkd.in/g9vSUc83 Twitter: https://lnkd.in/dESJxy2n \n\n#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technology #cybersecurity","['#TQIWebisodes', '#Part4', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technology', '#cybersecurity']",13,0,5,Video,"['www.linkedin.com/company/the-quantum-insider/', 'www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'lnkd.in/gnwP6f67', 'www.linkedin.com/company/quantropi/', 'lnkd.in/g79xH39y', 'www.linkedin.com/company/waterbridge-media/', 'www.linkedin.com/in/ACoAAADnnvgBLTnJHfNvU0yr-xO_vyT2O7VknvE', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAADo8o7QBsiWWsMNYBn_Uc2vSnro_ORlBPLQ', 'www.linkedin.com/in/ACoAAACEv0gBDBEn_ERHl3eFzwcFuXxA8pR1s0k', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4', 'www.linkedin.com/in/ACoAAAmpFgQBsotecTIHGHTlZEJwpNtDr0x_Zhc', 'lnkd.in/g9vSUc83', 'lnkd.in/dESJxy2n']",https://www.linkedin.com/feed/update/urn:li:activity:7031324692237991936
"#TQIWebisodes #Part2\n\nIn this, the second of a 4-part mini-series of ‘The Quantum Insider Webinar: Preparing Enterprises for Y2Q and the Quantum Threat to Cryptography’, Quantropi Inc. CTO Michael Redding, along with Brian Lenahan, Founder &amp; Chair, of Quantum Strategy Institute, predict and discuss how quantum attacks will manifest and the impact they will have. \n\nWatch the complete mini-series here: https://lnkd.in/gnwP6f67 \n\nQuantropi Inc.’s QiSpace™ platform is the only fast, lightweight, and resource-efficient suite of cryptographic products and quantum entropy services that enable organizations to protect data, networks, systems and IoT devices, now and forever. \n\nLearn More: https://lnkd.in/g79xH39y  Music Rights: Waterbridge Creative Media Video: Eric Chan  James Nguyen Randy Kuang Jay Toth Raj Narula, P.Eng. Nik Mahidhara, CPA, CA, MBA Ken Dobell Colin Osing Nick Kuang  Follow us at: LinkedIn: https://lnkd.in/g9vSUc83 Twitter: https://lnkd.in/dESJxy2n \n\n#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technology #cybersecurity ","['#TQIWebisodes', '#Part2', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technology', '#cybersecurity']",12,0,5,Video,"['www.linkedin.com/company/the-quantum-insider/', 'www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAAK5Is0BXhlwpBNueZFZ5ZevCiDXQBj20ow', 'lnkd.in/gnwP6f67', 'www.linkedin.com/company/quantropi/', 'lnkd.in/g79xH39y', 'www.linkedin.com/company/waterbridge-media/', 'www.linkedin.com/in/ACoAAADnnvgBLTnJHfNvU0yr-xO_vyT2O7VknvE', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAADo8o7QBsiWWsMNYBn_Uc2vSnro_ORlBPLQ', 'www.linkedin.com/in/ACoAAACEv0gBDBEn_ERHl3eFzwcFuXxA8pR1s0k', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4', 'www.linkedin.com/in/ACoAAAmpFgQBsotecTIHGHTlZEJwpNtDr0x_Zhc', 'lnkd.in/g9vSUc83', 'lnkd.in/dESJxy2n']",https://www.linkedin.com/feed/update/urn:li:activity:7028386129011777536
"Companies involved in quantum computing, applications and cryptography are poised for significant top-line revenue growth over the next 10 years, rising from $942 Million in 2022 to $22 Billion in 2032 – a 58% increase!\n\nAnd with the path to Y2Q (the day quantum computers will be in a position to break today’s encryption) accelerating each month, the growth curve could be even steeper.https://bit.ly/3HKEsmC\n\nUnderstand the Path to Y2Q: https://lnkd.in/e-5HjGFE\n\nLearn more about QiSpace™ and our TrUE quantum-secure product suite: https://lnkd.in/e-5HjGFEe\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",20,0,1,Article,"['bit.ly/3HKEsmC', 'lnkd.in/e-5HjGFE', 'lnkd.in/e-5HjGFEe']",https://www.linkedin.com/feed/update/urn:li:activity:7060969021088636928
We are #hiring a Senior C Developer to join our Engineering Team at Quantropi Inc. Do you know anyone who fits the job description? Check out the link below !!!\n\nhttps://lnkd.in/dNCEVu9g\n\nLily H James Nguyen Michael Redding Colin Osing\n\n#Recruiting #Engineering #Team #quantumsecurity #Quantropi #BringItOn #Job #SeniorDeveloper #C #developer ,"['#hiring', '#Recruiting', '#Engineering', '#Team', '#quantumsecurity', '#Quantropi', '#BringItOn', '#Job', '#SeniorDeveloper', '#C', '#developer']",6,0,2,Article,"['www.linkedin.com/company/quantropi/', 'lnkd.in/dNCEVu9g', 'www.linkedin.com/in/ACoAACnorZUBvKq1esj2w0QENcbZmklD8h7fxlM', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4']",https://www.linkedin.com/feed/update/urn:li:activity:7061773499538788352
"Join Quantropi Inc. CTO Michael Redding and the team at Inside Quantum Technology Canada, June 20 - 22, 2023 – Centre Mont-Royal Montréal.  Make sure to attend Panel 2.1 – - The Future of PQC: Standards and Applications – June 21st at 1:20 pm where Mike will dive into the future of Post-Quantum Cryptography (PQC), explain the evolving landscape of quantum security, and explore standards and applications.  And pop by booth #102 to learn more about Quantropi Inc.'s TrUE quantum-secure cryptography platform QiSpace™ and Quantum Entropy as a Service (QEaas).   Learn more: https://bit.ly/3JAZNjF\n\nJames Nguyen Randy Kuang Jay Toth Raj Narula, P.Eng.Ken Dobell Colin Osing Nick Kuang\n\n#IQTMontreal #QuantumSecurity #PQC #QKD #Quantropi #BringItOn #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity ","['#102', '#IQTMontreal', '#QuantumSecurity', '#PQC', '#QKD', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity']",18,0,3,Image,"['www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/company/iqt-inside-quantum-technology/', 'www.linkedin.com/company/le-centre-mont-royal/', 'www.linkedin.com/company/quantropi/', 'bit.ly/3JAZNjF', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAAACEv0gBDBEn_ERHl3eFzwcFuXxA8pR1s0k', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4', 'www.linkedin.com/in/ACoAAAmpFgQBsotecTIHGHTlZEJwpNtDr0x_Zhc']",https://www.linkedin.com/feed/update/urn:li:activity:7074392196002521090
"The recent advancements in quantum technology combined with today’s AI cyberattacks have shortened the timeframe to Y2Q - the day bad actors will be in a position to break asymmetric encryption using a quantum computer.\n\nQuantropi Inc.’s TrUE Quantum-Secure Cryptography platform QiSpace™, enables product manufacturers, IoT providers, and enterprises to prepare against today’s AI attacks and tomorrow’s quantum threats.\n\nJoin us at RSA Conference™ 2023, Moscone Center, San Francisco and watch LIVE QiSpace™ Demonstrations of Quantum Secure Boot Loader, Advanced Quantum Encryption for TLS, and Quantum Entropy Services.\n\nLearn more: https://bit.ly/3oeTzxO\n\nJames Nguyen Randy Kuang Michael Redding Jay Toth Raj Narula, P.Eng. Ken Dobell Colin Osing Nick Kuang Alex He Dafu Lou Larry LaCasse Andrew Hammond\n\n#RSAC2023 #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#RSAC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",16,0,2,Article,"['www.linkedin.com/company/quantropi/', 'www.linkedin.com/company/rsa-conference/', 'www.linkedin.com/company/mosconecenter/', 'bit.ly/3oeTzxO', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAAACEv0gBDBEn_ERHl3eFzwcFuXxA8pR1s0k', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4', 'www.linkedin.com/in/ACoAAAmpFgQBsotecTIHGHTlZEJwpNtDr0x_Zhc', 'www.linkedin.com/in/ACoAAArwYn8B7SC3MrOa8UkxsCmLiZoMUH6c0z0', 'www.linkedin.com/in/ACoAAAPzEg4BGOfCsdihrvhhWPTJpRLt0kfngHY', 'www.linkedin.com/in/ACoAAAFb5YwBphJvFR3NswhW192SweycfUrHJCc', 'www.linkedin.com/in/ACoAAAAGXqIBlyaDAKBBx56o2hNKFWcv7BkR1zk']",https://www.linkedin.com/feed/update/urn:li:activity:7054190709716701184
"#TQIWebisodes #Part3\n\nIn this, the third of our The Quantum Insider mini-series on the Y2Q Quantum Threat, Quantropi Inc. CTO Michael Redding outlines the building blocks of “TrUE” Quantum Security and how organizations can transition to a permanent post-quantum security posture, starting today. \n\nWatch the complete mini-series here: https://lnkd.in/gnwP6f67 \n\nQuantropi Inc.’s QiSpace™ platform is the only fast, lightweight, and resource-efficient suite of cryptographic products and quantum entropy services that enable organizations to protect data, networks, systems and IoT devices, now and forever. \n\nLearn More: https://lnkd.in/g79xH39y  Music Rights: Waterbridge Creative Media Video: Eric Chan  James Nguyen Randy Kuang Jay Toth Raj Narula, P.Eng. Nik Mahidhara, CPA, CA, MBA Ken Dobell Colin Osing Nick Kuang  Follow us at: LinkedIn: https://lnkd.in/g9vSUc83 Twitter: https://lnkd.in/dESJxy2n \n\n#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technology #cybersecurity","['#TQIWebisodes', '#Part3', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technology', '#cybersecurity']",18,0,2,Video,"['www.linkedin.com/company/the-quantum-insider/', 'www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'lnkd.in/gnwP6f67', 'www.linkedin.com/company/quantropi/', 'lnkd.in/g79xH39y', 'www.linkedin.com/company/waterbridge-media/', 'www.linkedin.com/in/ACoAAADnnvgBLTnJHfNvU0yr-xO_vyT2O7VknvE', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAADo8o7QBsiWWsMNYBn_Uc2vSnro_ORlBPLQ', 'www.linkedin.com/in/ACoAAACEv0gBDBEn_ERHl3eFzwcFuXxA8pR1s0k', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4', 'www.linkedin.com/in/ACoAAAmpFgQBsotecTIHGHTlZEJwpNtDr0x_Zhc', 'lnkd.in/g9vSUc83', 'lnkd.in/dESJxy2n']",https://www.linkedin.com/feed/update/urn:li:activity:7029121419636609024
"Are you prepared for Y2Q? Recent breakthroughs in AI and machine learning have drastically reduced the quantum capabilities required for “Y2Q” – the day bad actors will be in a position to break today’s encryption. 𝗬𝟮𝗤 𝗰𝗼𝘂𝗹𝗱 𝗯𝗲 𝗷𝘂𝘀𝘁 𝟭-𝟯 𝘆𝗲𝗮𝗿𝘀 𝗮𝘄𝗮𝘆.\n\nOnly Quantropi Inc.’s QiSpace™ provides a TrUE Quantum-Secure defence. Learn more by joining us at RSA Conference™ 2023 - booth – 𝗡-𝟱𝟮𝟬𝟬 𝗮𝘁 𝘁𝗵𝗲 𝗡𝗼𝗿𝘁𝗵 𝗘𝘅𝗽𝗼...and watch LIVE demos of our Quantum Secure Boot Loader, Advanced Quantum Encryption for TLS, and Quantum Entropy Services.\n\nWatch our latest video: ""The Path to Y2Q"" to understand WHY public and private organizations should use QiSpace™ for TrUE data security.\n\nhttps://bit.ly/3oAW120\n\nJames Nguyen, Randy Kuang, Michael Redding, Jay Toth, Ken Dobell, Raj Narula, P.Eng. Nik Mahidhara, CPA, CA, MBA, Colin Osing Nick Kuang \n\n#RSAC2023 #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#RSAC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",14,0,4,Article,"['www.linkedin.com/company/quantropi/', 'bit.ly/3oAW120', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4', 'www.linkedin.com/in/ACoAAACEv0gBDBEn_ERHl3eFzwcFuXxA8pR1s0k', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAADo8o7QBsiWWsMNYBn_Uc2vSnro_ORlBPLQ', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4', 'www.linkedin.com/in/ACoAAAmpFgQBsotecTIHGHTlZEJwpNtDr0x_Zhc']",https://www.linkedin.com/feed/update/urn:li:activity:7055257106983051264
"Are you aware of the rapidly approaching timeline to Y2Q and the potential for quantum computers to break RSA encryption?\n\nThis recent news by Enrique Solano shows that the timeline is shortening and it's crucial for organizations to prepare now to protect their data, networks and systems. While the exact date of Y2Q is unknown, it's likely just months or a couple of years away.\n\nOrganizations need to take action now and transition to a permanent post-quantum security posture to defend against the urgent threat of ""Steal Now Crack Later"" and the imminent Y2Q Quantum threat to cryptography.\n\nProtect your data, networks, systems and devices NOW with Quantropi Inc.’s #QiSpace™.Submit your QiSpace™ trial request today to get started!https://bit.ly/3NzfiJF\n\n#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technology","['#QiSpace™.Submit', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technology']",5,0,0,Article,"['www.linkedin.com/in/ACoAACUcxk4Bdq0f2dgaQjnbcRYbcjqV1AkfZw8', 'bit.ly/3NzfiJF']",https://www.linkedin.com/feed/update/urn:li:activity:7025479786311413760
"#Qi_Quotes By Quantropi Inc.\n\nSecure communications is obviously a top priority for government agencies and financial institutions. Quantum cryptography is the key to achieving this, according to Massachusetts Institute of Technology\n\nProtect your data, devices, and systems NOW with Quantropi Inc.’s #QiSpace™.Learn more: https://bit.ly/3NzfiJF\n\n#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technology","['#Qi_Quotes', '#QiSpace™.Learn', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technology']",6,1,1,Image,"['www.linkedin.com/company/quantropi/', 'www.linkedin.com/company/mit/', 'bit.ly/3NzfiJF']",https://www.linkedin.com/feed/update/urn:li:activity:7074007449099194368
"The Financial Times calls it Q-Day, many refer to it as Y2Q – or the day when a quantum computer will be able to break today’s encryption. Understand how it all works, and what you can do to prepare. \n\nRead the full article here - https://lnkd.in/dGBKbUp4 \n\nOnly Quantropi Inc.’s QiSpace™ provides TrUE Quantum-Secure protection against the looming Y2Q threat, with a fast, lightweight, and resource-efficient suite of cryptographic products and quantum entropy services. Protect your data, connected IoT devices, and communications, now and forever. \n\nAnd watch our latest video: ""The Path to Y2Q"" to understand WHY the Y2Q quantum threat is almost here.https://lnkd.in/e-5HjGFE\n\n#Quantropi  #BringItOn  #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard  ","['#Quantropi\u202f', '#BringItOn\u202f', '#Y2Q\u202f', '#technology\u202f', '#cryptography\u202f', '#quantumcryptography\u202f', '#Cybersecurity\u202f', '#QuantumSecurityBoard']",6,0,4,Article,"['www.linkedin.com/company/financial-times/', 'lnkd.in/dGBKbUp4', 'www.linkedin.com/company/quantropi/', 'lnkd.in/e-5HjGFE']",https://www.linkedin.com/feed/update/urn:li:activity:7059912058309332992
"Trying to make sense of recent news that new approaches *might* provide a pathway to ""Y2Q"" (the day a Cryptographically Relevant Quantum Computer can break standard Asymmetric Encryption such as RSA)?   I had a chance to sit down with Quantropi Inc.Co-Founder and Chief Scientist Randy Kuang to cut thru the noise and understand what the latest work does and does *NOT* say.  \n\nTL;DR : New work does suggest that classic-quantum hybrids could very well decrease the Quantum resources needed for a successful attack but still unknown if the resulting attack would be ""practical"" (run in an amount of calendar time to be useful to the attacker).\n\n#Y2Q #cybersecurity #quantumsecurity #datasecurity #PQC #TrUE #UncertaintyisSecurity #QiSpace #BringitOn\n\nhttps://lnkd.in/gFd-tV_R","['#Y2Q', '#cybersecurity', '#quantumsecurity', '#datasecurity', '#PQC', '#TrUE', '#UncertaintyisSecurity', '#QiSpace', '#BringitOn']",23,3,3,Article,"['www.linkedin.com/company/quantropi/', 'lnkd.in/gFd-tV_R']",https://www.linkedin.com/feed/update/urn:li:activity:7027272645159116800
"WORLD RECORD IN FACTORIZATION WITH NON-HYBRID QUANTUM ALGORITHM\n\nWe are proud to announce that Kipu Quantum has achieved a world record in factorization with a purely quantum algorithm, meaning no classical optimization was performed. We have factorized a 48-bit integer in 10 qubits of ion-trap Quantinuum's quantum processor with our innovative non-hybrid quantum computing paradigm: Digitized-Counterdiabatic Quantum Factorization (DCQF).\n\nWe have also internal results, tested in trapped-ion and superconducting quantum computers, with even further records using hybrid DCQF, outperforming by far the announcement today. We will keep disclosing them along the next weeks and months, after suitable IP strategy, smart productizing, and customer deals.\n\nAnyone's ambitious goals should include, evidently, a scalable approach towards solving RSA-64 and RSA-128 with digital quantum computing methods. We are tackling such challenges with our purely-quantum and hybrid DCQF paradigms. However, we are also considering a scalable path towards larger integers, including RSA-2048, which may need digital-analog quantum computing (DAQC) encoding.\n\nKipu Quantum is a unique world-leading company with the most creative technology and talented management teams, which invents, owns, and develops the expertise for productizing DCQC, DCQO, DCQF, DAQC, and many other revolutionary quantum computing paradigms, bringing quantum advantage for industry use cases to the present of our NISQ era.\n\nAt Kipu Quantum, each investment effort, in your preferred currency, produces breakthroughs in quantum technology, products, and business.\n\nStay tuned for periodic announcements of our quantum computing records and further news on finance, chemistry, optimization, logistics, factorization, among others. Kipu Quantum develops unique and proprietary hardware-dependent application-specific quantum solutions with most competitive results.\n\nQuantum destiny is all.",[],167,18,19,Article,"['www.linkedin.com/company/kipu-quantum/', 'www.linkedin.com/company/quantinuumqc/', 'www.linkedin.com/company/kipu-quantum/', 'www.linkedin.com/company/kipu-quantum/', 'www.linkedin.com/company/kipu-quantum/']",https://www.linkedin.com/feed/update/urn:li:activity:7024645474234036224
"#TQIWebisodes #Part1\n\nIn this, the first of a 4-part mini-series of ‘The Quantum Insider Webinar: Preparing Enterprises for Y2Q and the Quantum Threat to Cryptography’, Quantropi Inc. CTO Michael Redding, is joined by Brian Lenahan, Founder &amp; Chair of Quantum Strategy Institute. \n\nMike details the three pre-requisite building blocks of a TrUE cryptographic system: Trust, Uncertainty, and Entropy. Watch the complete mini-series here: https://lnkd.in/gnwP6f67\n\nQuantropi Inc.’s QiSpace™ platform is the only fast, lightweight, and resource-efficient suite of cryptographic products and quantum entropy services that enable organizations to protect data, networks, systems and IoT devices, now and forever. \n\nLearn More: https://lnkd.in/g79xH39y \n\nMusic Rights: Waterbridge Creative Media Video: Eric Chan\n\nJames Nguyen Randy Kuang Jay Toth Raj Narula, P.Eng. Nik Mahidhara, CPA, CA, MBA Ken Dobell Colin Osing Nick Kuang\n\nFollow us at: LinkedIn: https://lnkd.in/g9vSUc83 Twitter: https://lnkd.in/dESJxy2n\n\n#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technology #cybersecurity ","['#TQIWebisodes', '#Part1', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technology', '#cybersecurity']",13,0,2,Video,"['www.linkedin.com/company/the-quantum-insider/', 'www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAAK5Is0BXhlwpBNueZFZ5ZevCiDXQBj20ow', 'www.linkedin.com/company/quantum-strategy-institute/', 'lnkd.in/gnwP6f67', 'www.linkedin.com/company/quantropi/', 'lnkd.in/g79xH39y', 'www.linkedin.com/company/waterbridge-media/', 'www.linkedin.com/in/ACoAAADnnvgBLTnJHfNvU0yr-xO_vyT2O7VknvE', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAADo8o7QBsiWWsMNYBn_Uc2vSnro_ORlBPLQ', 'www.linkedin.com/in/ACoAAACEv0gBDBEn_ERHl3eFzwcFuXxA8pR1s0k', 'www.linkedin.com/in/ACoAAABY9nsBMm3ZXecw9Eo8j75qSkYNFnO1kV4', 'www.linkedin.com/in/ACoAAAmpFgQBsotecTIHGHTlZEJwpNtDr0x_Zhc', 'lnkd.in/g9vSUc83', 'lnkd.in/dESJxy2n']",https://www.linkedin.com/feed/update/urn:li:activity:7026216804079341568
